pair_id,customer_tweet_id,apple_tweet_id,customer_text,apple_reply,created_at
63,2650,2649,"really needs to fix this update. My phone has never been slower, for real.",We're here to help with any issues you may having with performance. Let us know the exact iOS version to get started.,Tue Oct 31 22:50:38 +0000 2017
64,2654,2653,newest version of iOS and iPhone 7,"Since we just released iOS 11.1 today, can you clarify which exact version you have installed?",Tue Oct 31 21:19:30 +0000 2017
65,2656,2655,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth???,"We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?",Tue Oct 31 20:18:00 +0000 2017
66,2659,2658,Is anyone else having problems with there iPhone 7 saying no service?,We want to help with this. Let's start troubleshooting by trying the steps here:,Tue Oct 31 22:49:00 +0000 2017
67,2662,2661,So why is this happening I️ I️ I️,We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks!,Tue Oct 31 22:49:00 +0000 2017
68,2666,2664,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,We'd like to look into this with you. Does the song appear to be greyed out?,Tue Oct 31 22:48:31 +0000 2017
69,2671,2669,^^check this out,Send us a DM please and we will go from there.,Tue Oct 31 22:46:26 +0000 2017
70,2676,2675,HELP ME. I have a problem with my iPhone 7😑,We're happy to help. What seems to be the problem?,Tue Oct 31 22:07:39 +0000 2017
71,2678,2677,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up.","We're here for you. DM us, and we'll look into this together.",Tue Oct 31 22:45:26 +0000 2017
72,2680,2679,It’s sorted. Thanks. iOS update needed a change and hard reboot,We're glad to hear that's sorted out for you. Have a great day.,Tue Oct 31 22:45:26 +0000 2017
73,2682,2681,ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,"We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?",Fri Oct 20 14:00:13 +0000 2017
74,2684,2683,live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,"Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there.",Tue Oct 31 22:45:25 +0000 2017
75,3761,3760,Listen I’m having issues with my phone so like can you @ me so we can talk,We're here to help. Send us a DM with the issue and we'll follow up from there.,Tue Oct 31 23:11:32 +0000 2017
76,3763,3765,"11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol",It was released earlier today. Let's use these steps to update iOS:,Tue Oct 31 23:20:00 +0000 2017
77,3764,3762,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus,Let's look at this together. Are you updated to iOS 11.1?,Tue Oct 31 23:10:58 +0000 2017
78,3767,3766,I’m no expert in battery life but 40% doesn’t go to 7% in 5minutes,"We understand your concerns, and want to help. Which device is this happening on?",Tue Oct 31 23:09:27 +0000 2017
79,3769,3771,That fixed it thanks,That's great! Enjoy the rest of your day.,Tue Oct 31 23:47:00 +0000 2017
80,3770,3768,this is my top bar every time I open messages on my SE after updating to iOS 11.1,Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,Tue Oct 31 23:09:27 +0000 2017
81,3773,3772,iOS 11.1 - keyboard lag. 🤨,We'd like to take a look into that with you. Would you please join us in DM to get started?,Tue Oct 31 23:07:50 +0000 2017
82,3776,3778,"still happening, including on iOS 11.2 beta now. any ideas?",Thanks for the update. Go ahead and send us a DM and we'll take it from there.,Wed Nov 01 20:47:00 +0000 2017
83,3777,3775,"I've also forced the app to close from the background and reopened, no dice 🎲",Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,Tue Oct 31 23:00:52 +0000 2017
84,4870,4872,iPhone 6 and yes it’s got the latest software update,"Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there.",Wed Nov 01 12:37:25 +0000 2017
85,4871,4869,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤,We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,Tue Oct 31 23:27:30 +0000 2017
86,4875,4873,Come on #ios11.1 Same bug as before. Numbers disappear when entering info. Video below. #iosproblems,Let's investigate this together. Does this only occur when using specific apps or website?,Tue Oct 31 23:27:00 +0000 2017
87,4877,4876,Restarting does resolve the issue. Thanks.,We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care.,Tue Oct 31 23:24:52 +0000 2017
88,4879,4878,I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists.,We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there.,Tue Oct 31 21:41:00 +0000 2017
89,4882,4880,tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; General &gt; About.,Tue Oct 31 23:24:52 +0000 2017
90,4889,4891,And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,"We appreciate those details. For more help with Photos, please reach out to our Photos experts here:",Wed Nov 01 13:28:00 +0000 2017
91,4890,4887,"whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help?",We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,Tue Oct 31 23:23:32 +0000 2017
92,4893,4892,This “I️” shit annoying yo fix this shit,We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there.,Tue Oct 31 23:23:00 +0000 2017
93,4897,4898,AFTER I️ updated my phone.,Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM.,Tue Oct 31 23:32:28 +0000 2017
94,4896,4894,please make this stop!!!,"Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",Tue Oct 31 23:22:28 +0000 2017
95,4900,4902,I have and my battery life has become even worse,Let's look into this further in DM.,Thu Nov 02 13:58:00 +0000 2017
96,4901,4899,Please fix the battery issues in Ios 11!,We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,Tue Oct 31 23:21:24 +0000 2017
97,4905,4907,I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again.,Tue Oct 31 23:34:00 +0000 2017
98,4906,4904,The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown.,We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps:,Tue Oct 31 23:18:26 +0000 2017
99,4909,4908,コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ; → 「バッテリーの減りが激しい」という問題に関しても同様）。,We offer support via Twitter in English. Contact us for help in your preferred language here:,Tue Oct 31 23:17:24 +0000 2017
100,4912,4910,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf ?,"We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",Tue Oct 31 23:16:27 +0000 2017
101,4915,4914,Don’t complain a lot about but when battery iphone goes down 50% after using your phone for 30 minutes ..... Problems since update 11,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.,Tue Oct 31 23:15:00 +0000 2017
102,4917,4916,. why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,We'd like to help. What iOS version are you on?,Tue Oct 31 23:15:00 +0000 2017
103,5808,5807,Y’all need to fix this now,Thank you for reaching out. We've received your DM and will continue working with you there.,Tue Oct 31 23:43:32 +0000 2017
104,5812,5811,just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,Got it. Have you updated your Apple Watch to 4.1 yet?,Tue Oct 31 21:17:00 +0000 2017
105,5816,5815,I️ &lt;— wtf is going on,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started.,Tue Oct 31 23:18:00 +0000 2017
106,5819,5817,I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,We'd be happy to help. Check out this link to for more information:,Tue Oct 31 23:42:00 +0000 2017
107,5821,5820,"Dear this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,Tue Oct 31 23:41:29 +0000 2017
108,5823,5822,creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,Tue Oct 31 23:39:28 +0000 2017
109,5825,5824,"excuse me, can someone explain to me why when I type an “I️” alone I️ get an A and a question mark???????",We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have.,Tue Oct 31 23:38:32 +0000 2017
110,5829,5827,Heyyy still waiting on a version of iOS 11 that isn’t complete shit — Everyone with any iPhone that isn’t the brand new one,"Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there.",Tue Oct 31 23:38:32 +0000 2017
111,5831,5830,why does my iphone 6 is redémarrer alone !!!!!,Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us.,Tue Oct 31 23:38:00 +0000 2017
112,5833,5832,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication ?????",We offer support via Twitter in English. Contact us for help in your preferred language here:,Tue Oct 31 23:30:29 +0000 2017
113,5835,5834,You dropped an update and I️ still see boxed question marks. Fix this shit .,We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.,Tue Oct 31 23:37:27 +0000 2017
114,5837,5840,Yes. Sorry. I️ just watched a video about 11.2 beta. 11.1 When I️ type the letter Eye I️ happens,"Have you tried resetting the keyboard dictionary yet? If not, go to Settings &gt; General &gt; Reset &gt; Reset Keyboard Library",Tue Oct 31 23:48:52 +0000 2017
115,5841,5842,Tried I️t and I️t still doesn’t work,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Mon Nov 06 03:51:51 +0000 2017
116,5839,5836,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️,We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,Tue Oct 31 23:37:00 +0000 2017
117,5844,5846,"No, virginmedia. Tried twice with completely new mail. One didn’t save, 2nd did though. Very odd.","Some accounts may create separate folders for your Drafts. If you're still having trouble, please DM us here:",Wed Nov 01 00:18:31 +0000 2017
118,5845,5843,Updated iPad Pro to 11.1. Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,We'll help in any way we can. Was this on an email account?,Tue Oct 31 23:36:31 +0000 2017
119,5849,5847,I updated to iOS 11 and my iPhone 6 stopped connecting to wi-fi. Already restored the phone and the network connections,"We are here to help. So we can best isolate the cause, could you verify your exact iOS version?",Tue Oct 31 23:36:30 +0000 2017
120,5853,5852,why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...,We'd love to help. Let's work together in DM.,Tue Oct 31 23:29:30 +0000 2017
121,6483,6482,Hello what’s happening to my screen,We'd love to take a look into this concern. Is the screen stuck this way have you restarted it? Send us a DM.,Mon Oct 09 00:42:28 +0000 2017
122,6554,6553,how long does it take usually for account recovery to get back to you? It’s been about a week now.,Having access to your Apple ID is important. Did you receive an email with a confirmation of your request? DM us here:,Mon Oct 09 00:41:00 +0000 2017
123,6608,6607,the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there.,Mon Oct 09 00:30:52 +0000 2017
124,6657,6656,My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,You won't be able to revert the system to pre-iOS 11 but we can look into the issues. DM us and we'll get started.,Mon Oct 09 00:43:50 +0000 2017
125,6917,6916,"Yes, sorry i mean iOS 11, when I texting my keyboard it’s very slow and my battery it consumes very fast.","Are you currently using Low Power Mode? If so, disable that from Settings &gt; Battery and restart. Let us know in DM if it helps.",Mon Oct 09 00:48:26 +0000 2017
126,6919,6918,"I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesn’t work properly can you help me?","We can help! We assume you mean iOS 11, right? Can you tell us what types of performance issues you're experiencing?",Mon Oct 09 00:18:00 +0000 2017
127,6928,6927,my iPhone is a fully up to date so why does my phone keep freezing 🙃???,"We want to help in any way we can. Which iPhone are you using? Let us know in DM, and we’ll work with you there.",Mon Oct 09 00:45:29 +0000 2017
128,6934,6933,after the new apple updates: the battery life is really go fast and the WiFi is always on! #newappleupdates,We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using.,Mon Oct 09 00:44:31 +0000 2017
129,8297,8296,Hello there i need help with the use of an administartors name and password on my imac,Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on.,Sun Nov 05 23:05:00 +0000 2017
130,8299,8298,DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,Are you seeing issues across all apps or are you noticing lag when performing specific tasks? Let us know in DM.,Sun Nov 05 23:11:28 +0000 2017
131,8302,8300,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating,"We'd like to learn more about what's happening. What model &amp; iOS version are you working with? Tell us in DM, please.",Sun Nov 05 23:13:30 +0000 2017
132,8304,8303,can your team let me know why my new iPhone 6 always has hanging problem I do not know what the problem is by I know I feel I am cheated by apple for phone 📱 do I ?,We'd be concerned with an unresponsive device too. Let us know your iOS version in DM and we'll help:,Sun Nov 05 23:12:28 +0000 2017
133,8308,8307,I don’t know. I need the space though. How do I get rid of some snapshots,Finder and Get Info windows don't include snapshots in their calculations so that's not the root cause. Let's meet within DM:,Sun Nov 05 23:01:00 +0000 2017
134,8310,8309,Its slowing down my mac a lot,"Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?",Sun Nov 05 19:28:25 +0000 2017
135,8313,8311,i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,Thanks for reaching out to us. We're happy to help out. We recommend checking out this link:,Sat Nov 04 21:40:00 +0000 2017
136,8320,8319,iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,Sun Nov 05 19:03:30 +0000 2017
137,8331,8330,Oh my god i’m so embarrassing why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,"Are you accidentally recording audio message or is this happening on its own? Let us know in a DM, we’ll communicate there:",Sun Nov 05 23:03:55 +0000 2017
138,8340,8339,only 8 attempts to open the twitter app and complain about the iOS 11 messing up my iPhone 7 - this is slowing down my life :(,We'd like to look into this with you. Please DM us details and we'll be glad to work with you towards a resolution.,Sun Nov 05 23:10:00 +0000 2017
139,8420,8418,Chat doesn’t seem to work in Germany. On the order page I cannot leave comments …,"If you are unable to access these resources, let's get you connected with our local AppleCare Support team to get you to our Online Support group:",Sat Nov 18 20:04:30 +0000 2017
140,8422,8421,"Dear , I have an online order which I never received - who can I talk to?",We want to help out. Look here to talk with our Online Support:,Sat Nov 18 18:35:25 +0000 2017
141,8435,8438,I need an actual human to help me,"Understood. For further help with your Apple ID, connect with one of our Apple ID Advisors here:",Sun Nov 19 14:38:02 +0000 2017
142,8437,8434,suck! Upgrade phone &amp; I lose my Apple ID. Can’t get new id without old &amp; can’t book Genius bar help appointment without ID!!! #stupid,"We're happy you reached out so we can find you the info you need. If you forgot your Apple ID, go to the Apple ID account page: From here, click ""Forgot Apple ID or password?"" then click ""look it up."" From here, follow the on screen prompts.",Sat Nov 18 19:21:56 +0000 2017
143,8542,8541,needs to figure it’s shit out. My phone won’t stop freezing &amp; closing apps 🙄😡,"Let us help. Does this happen while using any specific app? Also, which version of iOS are you currently running?",Tue Oct 31 23:54:30 +0000 2017
144,8544,8546,"no, my photos aren’t gone. why are there four (five actually, one isn’t pictured) albums in my photos all labeled twitter?",Got it. Please continue with us by reaching out to our Photos app experts:,Wed Nov 01 00:10:26 +0000 2017
145,8545,8543,what the fuck ?,"We're here for you. Let's work together to locate your photos. Did you just recently restore your device, by any chance?",Tue Oct 31 23:55:00 +0000 2017
146,8550,8552,so it cant be disable? umm ya.. problem comes oftenly when my iphone just woke up. kindly please gimme some advices to heal that issue,"This link is a great place to start: If you still have issues after those steps, DM us.",Wed Nov 01 00:06:26 +0000 2017
147,8553,8554,ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw? what tips to prevent it wont happen again?,"We wouldn't want to speculate into the cause, but please send us a DM so we can look into this further with you.",Wed Nov 01 00:27:00 +0000 2017
148,8551,8549,ya.lately my screen was disfunction for touch after its been restart. i couldnt enter passcode yet homebutton still figureout my fingerprint,"For security, the passcode is always required even if you have Touch ID turned on. Are you still having touch screen issues?",Tue Oct 31 23:53:39 +0000 2017
149,8557,8556,"is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,Tue Oct 31 20:46:28 +0000 2017
150,8559,8562,Yes I️ just did that today.,"OK, please DM us, so we can work together on this.",Wed Nov 01 00:00:29 +0000 2017
